Zeit,Motortemperatur,Motorlast,Drehzahl,LL-Stab. Arbeitsber.,LL-Stab. Nullpunkt,LL-Stab. Lastanpassung,LL-Stab. Kennl.-Strg.,Lambdaregelung aktiv,Lambdareg. Anpassung,Zündwinkel
1,186,29,89,146,109,127,48,128,130,36
2,186,27,91,145,109,127,48,128,130,36
3,186,28,83,145,109,127,48,128,130,36
4,186,28,83,145,109,127,48,128,130,36
5,186,28,84,145,109,127,48,128,130,36
6,186,29,80,145,110,127,48,128,130,36
7,186,29,83,145,110,127,48,128,130,36
8,186,28,89,144,110,127,48,128,130,36
9,186,27,88,144,110,127,48,128,130,36
10,186,27,83,144,110,127,48,128,130,36
11,186,27,86,144,110,127,48,128,130,36
12,186,28,83,144,110,127,48,128,130,36
13,186,28,83,144,110,127,48,128,130,36
14,186,29,80,144,110,127,48,128,130,36
15,186,29,81,144,110,127,48,128,130,36
16,186,28,84,144,110,127,48,128,130,36
17,186,29,81,144,110,127,48,128,130,36
18,186,28,85,144,110,127,48,128,130,36
19,186,28,86,143,110,127,48,128,130,36
20,186,28,83,143,110,127,48,128,130,36
21,186,28,83,143,110,127,48,128,130,36
22,185,27,83,143,110,127,48,128,130,36
23,186,27,83,143,110,127,48,128,130,36
24,186,29,78,143,110,127,48,128,130,36
25,186,28,83,143,110,127,48,128,130,36
26,186,28,83,142,110,128,48,128,130,36
27,186,28,83,142,110,128,48,128,130,36
28,186,28,83,142,110,128,48,128,130,36
29,186,28,80,142,110,128,48,128,130,36
30,186,29,81,142,110,128,48,128,130,36
31,186,28,84,142,110,128,48,128,130,36
32,186,26,85,141,110,128,48,128,130,36
33,186,27,83,141,110,128,48,128,130,36
34,186,28,80,141,111,128,48,128,130,36
35,186,28,78,141,111,128,48,128,130,36
36,186,29,79,142,111,128,48,128,130,36
37,186,29,81,142,111,128,48,128,130,36
38,186,28,84,141,111,128,48,128,130,36
39,186,27,86,141,111,128,48,128,130,36
40,186,27,84,141,111,128,48,128,130,36
41,186,28,79,141,111,128,48,128,130,36
42,186,28,83,141,111,128,48,128,130,36
43,186,27,83,141,111,128,48,128,130,36
44,186,27,81,141,111,128,48,128,130,36
45,186,28,79,141,112,128,48,128,130,36
46,186,28,80,141,112,128,48,128,130,36
47,186,28,81,141,112,128,48,128,130,36
48,186,28,81,141,112,128,48,128,130,36
49,186,27,84,140,112,128,48,128,130,36
50,186,28,83,140,112,128,48,128,130,36
51,186,27,84,140,112,128,48,128,130,36
52,186,27,82,140,112,128,48,128,130,36
53,186,27,83,140,112,128,48,128,130,36
54,186,28,83,140,112,128,48,128,130,36
55,186,28,84,140,112,128,48,128,130,36
56,186,27,84,140,112,128,48,128,130,36
57,186,27,81,140,112,128,48,128,130,36
58,186,27,83,140,112,128,48,128,130,36
59,186,27,83,140,112,128,48,128,130,36
60,186,27,80,140,112,128,48,128,130,36
61,186,29,80,140,112,128,48,128,130,36
62,186,28,84,140,112,128,48,128,130,36
63,186,26,84,140,112,128,48,128,130,36
64,186,27,80,140,112,128,48,128,130,36
65,186,28,80,140,112,128,48,128,130,36
66,186,28,80,140,112,128,48,128,130,36
67,187,27,82,140,112,128,48,128,130,36
68,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0
70,187,26,83,138,113,128,48,131,130,36
71,187,26,84,138,113,128,48,131,130,36
72,187,26,82,138,113,128,48,132,130,36
73,187,27,80,138,113,128,48,132,130,36
74,187,27,80,138,114,128,48,132,130,36
75,187,26,85,138,114,128,48,133,130,36
76,187,26,84,138,114,128,48,133,130,36
77,187,25,83,137,114,128,48,133,130,36
78,187,26,80,137,114,128,48,132,130,36
79,187,27,77,137,114,128,48,133,130,36
80,187,27,84,137,114,128,48,133,130,36
81,187,26,84,137,114,128,48,133,130,36
82,187,26,85,137,114,128,48,134,130,36
83,187,25,83,137,114,128,48,134,130,36
84,187,26,83,137,114,128,48,134,130,36
85,187,25,87,136,114,128,48,134,130,36
86,187,26,84,136,114,128,48,135,130,36
87,187,25,88,136,114,128,48,134,130,36
88,187,25,86,136,114,128,48,134,130,36
89,187,25,84,136,114,128,48,135,130,36
90,187,25,81,136,114,128,48,135,130,36
91,187,25,84,136,114,128,48,135,130,36
92,187,25,82,135,114,128,48,135,130,36
93,187,25,80,135,114,128,48,136,130,36
94,187,26,80,135,114,128,48,135,130,36
95,187,26,80,135,114,128,48,135,130,36
96,187,26,84,135,114,128,48,135,130,36
97,187,24,86,135,114,128,48,136,130,36
98,187,25,80,135,114,128,48,136,130,36
99,187,26,80,135,114,128,48,136,130,36
100,187,25,83,135,114,128,48,136,130,36
101,187,25,85,135,114,128,48,136,130,36
102,187,24,85,135,114,128,48,136,130,36
103,187,24,83,134,114,128,48,136,130,36
104,187,24,83,134,114,128,48,137,130,36
105,187,25,80,134,114,128,48,137,130,36
106,187,25,81,134,114,128,48,136,130,36
107,187,25,82,134,114,128,48,136,130,36
108,189,25,83,134,114,128,48,137,130,36
109,187,24,83,134,114,128,48,137,130,36
110,187,25,83,134,114,128,48,137,130,36
111,187,24,85,134,114,128,48,138,130,36
112,187,25,81,134,114,128,48,137,130,36
113,187,25,84,134,114,128,48,137,130,36
114,187,24,90,133,114,128,48,137,130,36
115,189,23,90,133,114,128,48,138,130,36
116,187,23,91,132,114,128,48,138,130,36
117,187,24,84,132,114,128,48,138,130,36
118,187,24,85,132,114,128,48,138,130,36
119,187,24,84,132,114,128,48,138,130,36
120,187,24,84,132,114,128,48,138,130,36
121,189,24,86,131,114,128,48,139,130,36
122,189,24,84,131,114,128,48,138,130,36
123,189,24,84,131,114,128,48,138,130,36
124,189,24,86,130,114,128,48,139,130,36
125,189,23,86,130,114,128,48,139,130,36
126,187,23,84,130,114,128,48,138,130,36
127,189,23,81,130,114,128,48,139,130,36
128,189,24,81,130,114,128,48,139,130,36
129,189,24,83,130,114,128,48,139,130,36
130,189,23,86,130,114,128,48,139,130,36
131,189,22,88,129,114,128,48,139,130,36
132,189,22,86,129,114,128,48,139,130,36
133,189,23,83,129,114,128,48,139,130,36
134,189,23,81,129,114,128,48,140,130,36
135,189,23,81,129,114,128,48,139,130,36
136,189,23,84,129,114,128,48,139,130,36
137,189,23,86,129,114,128,48,139,130,36
138,189,22,84,128,114,128,48,139,130,36
139,189,23,83,128,114,128,48,143,130,36
140,189,23,84,128,114,128,48,143,130,36
141,189,22,86,128,114,128,48,143,130,36
142,189,22,87,127,114,128,48,144,130,36
143,189,22,86,127,114,128,48,142,130,36
144,189,21,85,127,114,128,48,142,130,36
145,189,21,84,127,114,128,48,142,130,36
146,189,21,81,127,114,128,48,141,130,36
147,189,22,79,127,114,128,48,140,130,36
148,189,23,79,127,114,128,48,140,130,36
149,189,23,79,127,114,128,48,140,130,36
150,189,23,81,127,114,128,48,139,130,36
151,189,22,83,127,114,128,48,138,130,36
152,189,22,84,127,114,128,48,138,130,36
153,189,22,83,127,114,128,48,138,130,36
154,189,22,83,127,114,128,48,138,130,36
155,189,22,83,127,114,128,48,136,130,36
156,189,22,82,127,114,128,48,136,130,36
157,189,22,80,127,114,128,48,136,130,36
158,189,23,78,127,114,128,48,136,130,36
159,189,23,81,127,114,128,48,136,130,36
160,189,22,81,127,114,128,48,136,130,36
161,189,22,81,127,114,128,48,136,130,36
162,189,22,81,127,114,128,48,136,130,36
163,189,22,80,127,114,128,48,135,130,36
164,189,23,80,127,114,128,48,138,130,36
165,189,23,76,127,114,128,48,141,130,36
166,189,23,80,127,114,128,48,144,130,36
167,189,22,84,127,114,128,48,145,130,36
168,189,21,87,126,114,128,48,145,130,36
169,189,20,86,126,114,128,48,145,130,36
170,189,21,87,125,114,128,48,145,130,36
171,189,20,86,125,114,128,48,144,130,36
172,189,20,84,125,114,128,48,144,130,36
173,189,21,81,125,114,128,48,144,130,36
174,189,21,78,125,114,128,48,144,130,36
175,189,22,79,126,114,127,48,143,130,36
176,189,22,80,126,114,127,48,143,130,36
177,189,21,82,126,114,127,48,143,130,36
178,189,21,81,126,114,127,48,143,130,36
179,189,21,80,126,114,127,48,142,130,36
180,189,22,77,126,114,127,48,142,130,36
181,189,22,77,126,114,127,48,144,130,36
182,189,22,80,126,114,127,48,144,130,36
183,189,22,81,126,114,127,48,144,130,36
184,189,21,81,126,114,127,48,144,130,36
