Zeit,Motortemperatur,Motorlast,Drehzahl,LL-Stab. Arbeitsber.,LL-Stab. Nullpunkt,LL-Stab. Lastanpassung,LL-Stab. Kennl.-Strg.,Lambdaregelung aktiv,Lambdareg. Anpassung,Zündwinkel
1,198,20,80,129,115,125,48,147,130,36
2,198,20,80,129,115,125,48,147,130,36
3,198,20,79,129,115,125,48,146,130,36
4,198,21,77,129,115,125,48,146,130,36
5,198,21,80,129,115,125,48,146,130,36
6,198,20,81,129,115,125,48,146,130,36
7,198,20,81,129,115,125,48,145,130,36
8,198,20,83,129,115,125,48,146,130,36
9,198,19,83,129,115,125,48,146,130,36
10,198,20,81,129,115,125,48,146,130,36
11,199,20,79,129,115,125,48,145,130,36
12,198,21,78,129,115,125,48,145,130,36
13,198,21,77,129,115,125,48,145,130,36
14,198,21,79,129,115,125,48,145,130,36
15,199,20,79,129,115,125,48,144,130,36
16,198,20,78,129,115,125,48,145,130,36
17,198,20,81,129,115,125,48,145,130,36
18,199,20,80,129,115,125,48,147,130,36
19,199,20,80,129,115,125,48,147,130,36
20,199,20,80,129,115,125,48,148,130,36
21,198,21,78,129,115,125,48,148,130,36
22,199,20,81,129,115,125,48,148,130,36
23,199,20,81,129,115,125,48,148,130,36
24,199,20,80,129,115,125,48,148,130,36
25,199,20,80,129,115,125,48,150,130,36
26,199,20,79,129,115,125,48,150,130,36
27,199,20,80,129,115,125,48,150,130,36
28,198,20,81,129,115,125,48,150,130,36
29,199,20,81,129,115,125,48,149,130,36
30,199,20,80,129,115,125,48,149,130,36
31,199,20,81,129,115,125,48,149,130,36
32,199,20,81,129,115,125,48,149,130,36
33,199,20,81,129,115,125,48,148,130,36
34,199,20,80,128,115,126,48,148,130,36
35,199,19,82,128,115,126,48,148,130,36
36,199,19,81,128,115,126,48,148,130,36
37,199,20,81,128,115,126,48,147,130,36
38,199,20,80,128,115,126,48,147,130,36
39,199,20,79,128,115,126,48,147,130,36
40,199,20,79,128,115,126,48,147,130,36
41,199,20,78,128,115,126,48,146,130,36
42,199,20,79,128,115,126,48,146,130,36
43,199,20,80,128,115,126,48,146,130,36
44,199,20,80,128,115,126,48,146,130,36
45,199,21,78,128,115,126,48,145,130,36
46,199,21,77,128,115,126,48,145,130,36
47,199,21,78,128,115,126,48,145,130,36
48,199,20,80,128,115,126,48,145,130,36
49,199,20,80,128,115,126,48,144,130,36
50,199,20,81,128,115,126,48,144,130,36
51,199,20,79,128,115,126,48,144,130,36
52,199,21,78,128,115,126,48,144,130,36
53,199,21,78,128,115,126,48,143,130,36
54,199,21,79,128,115,126,48,143,130,36
55,199,20,81,128,115,126,48,144,130,36
56,199,20,81,128,115,126,48,144,130,36
57,199,20,79,128,115,126,48,143,130,36
58,199,20,78,128,115,126,48,143,130,36
59,199,21,75,128,115,126,48,143,130,36
60,199,21,76,129,115,126,48,143,130,36
61,199,21,77,129,115,126,48,142,130,36
62,199,21,77,129,115,126,48,142,130,36
63,199,20,80,129,115,126,48,142,130,36
64,199,20,80,129,115,126,48,142,130,36
65,199,20,80,129,115,126,48,141,130,36
66,199,20,80,129,115,126,48,141,130,36
67,199,20,80,129,115,126,48,141,130,36
68,199,20,79,129,115,126,48,141,130,36
69,199,21,78,129,115,126,48,142,130,36
70,199,21,79,129,115,126,48,141,130,36
71,199,20,80,129,115,126,48,141,130,36
72,199,21,79,129,115,126,48,141,130,36
73,199,21,78,129,115,126,48,143,130,36
74,199,21,79,129,115,126,48,142,130,36
75,199,20,80,129,115,126,48,142,130,36
76,199,20,81,129,115,126,48,142,130,36
77,199,20,81,129,115,126,48,142,130,36
78,199,20,80,129,115,126,48,141,130,36
79,199,20,79,129,115,126,48,141,130,36
80,199,21,79,129,115,126,48,140,130,36
81,199,21,77,129,115,126,48,141,130,36
82,199,21,79,129,115,126,48,140,130,36
83,199,21,79,129,115,126,48,140,130,36
84,199,21,78,129,115,126,48,141,130,36
85,199,21,80,129,115,126,48,141,130,36
86,199,21,81,129,115,126,48,140,130,36
87,199,21,80,129,115,126,48,141,130,36
88,199,20,81,129,115,126,48,142,130,36
89,199,20,80,129,115,126,48,142,130,36
90,199,20,81,129,115,126,48,142,130,36
91,199,21,79,129,115,126,48,142,130,36
92,199,20,80,129,115,126,48,144,130,36
93,199,21,79,129,115,126,48,144,130,36
94,199,21,80,129,115,126,48,144,130,36
95,199,21,80,129,115,126,48,144,130,36
96,199,20,81,129,115,126,48,145,130,36
97,199,20,83,129,115,126,48,145,130,36
98,199,20,85,129,115,126,48,145,130,36
99,199,19,84,129,115,126,48,144,130,36
100,199,19,83,128,115,126,48,144,130,36
101,199,19,83,128,115,126,48,144,130,36
102,199,20,80,128,115,126,48,144,130,36
103,199,21,78,128,115,126,48,143,130,36
104,199,21,79,128,115,126,48,143,130,36
105,199,21,78,128,115,126,48,143,130,36
106,199,21,79,128,115,126,48,143,130,36
107,199,20,80,128,115,126,48,142,130,36
108,199,20,80,128,115,126,48,142,130,36
109,199,20,73,129,115,126,48,142,130,36
110,201,24,65,132,116,126,48,143,130,34
111,199,28,68,136,116,126,48,142,130,34
112,199,29,77,137,116,126,48,144,130,36
113,199,25,90,137,116,126,48,143,130,36
114,199,22,99,136,116,126,48,143,130,37
115,199,21,95,136,116,126,48,143,130,37
116,199,20,94,135,116,126,48,144,130,36
117,199,21,89,135,116,126,48,144,130,36
118,199,21,87,134,116,126,48,144,130,36
119,199,22,84,134,116,126,48,145,130,36
120,199,22,84,134,116,126,48,144,130,36
121,199,22,85,134,116,126,48,144,130,36
122,201,22,86,134,116,126,48,144,130,36
123,199,22,84,134,116,126,48,143,130,36
124,201,22,83,134,116,126,48,143,130,36
125,201,22,82,134,116,126,48,143,130,36
126,201,23,82,134,116,126,48,145,130,36
127,201,23,83,134,116,126,48,144,130,36
128,199,22,84,134,116,126,48,144,130,36
129,201,22,85,133,116,126,48,146,130,36
130,199,22,85,133,116,126,48,145,130,36
131,199,21,84,133,116,126,48,145,130,36
132,199,22,81,133,116,126,48,145,130,36
133,201,22,81,133,116,126,48,145,130,36
134,199,22,80,133,116,126,48,144,130,36
135,201,22,83,133,116,126,48,145,130,36
136,201,22,83,133,116,126,48,145,130,36
137,201,22,84,133,116,126,48,145,130,36
138,201,22,83,132,116,126,48,145,130,36
139,201,22,83,132,116,126,48,145,130,36
140,201,22,81,132,116,126,48,146,130,36
141,201,22,81,132,116,126,48,146,130,36
142,201,22,83,132,116,126,48,145,130,36
143,201,22,84,132,116,126,48,145,130,36
144,201,22,84,132,116,126,48,145,130,36
145,201,22,83,132,116,126,48,145,130,36
146,201,22,81,132,116,126,48,144,130,36
147,201,22,80,132,116,126,48,144,130,36
148,201,22,80,132,116,126,48,144,130,36
149,201,23,80,132,116,126,48,144,130,36
150,201,23,80,132,116,126,48,143,130,36
151,201,22,81,132,116,126,48,143,130,36
152,201,22,81,132,116,126,48,143,130,36
153,201,22,81,132,116,126,48,144,130,36
154,201,22,81,132,116,126,48,143,130,36
155,199,22,83,132,116,126,48,145,130,36
156,201,22,83,132,116,126,48,145,130,36
157,201,22,84,132,116,126,48,145,130,36
158,201,22,84,132,116,126,48,144,130,36
159,201,22,82,132,116,126,48,144,130,36
160,201,22,83,132,116,126,48,144,130,36
161,201,22,80,132,116,126,48,144,130,36
162,201,22,80,132,116,126,48,143,130,36
163,201,22,80,132,116,126,48,143,130,36
164,201,22,79,132,116,126,48,143,130,36
165,201,23,79,132,116,126,48,143,130,36
166,201,22,80,132,116,126,48,142,130,36
167,201,22,81,132,116,126,48,142,130,36
168,201,22,83,132,116,126,48,142,130,36
169,201,22,83,132,116,126,48,143,130,36
170,201,22,80,132,116,126,48,145,130,36
171,201,22,79,132,116,126,48,144,130,36
172,201,22,79,132,116,126,48,144,130,36
173,201,23,79,132,116,126,48,144,130,36
174,201,22,80,132,116,126,48,144,130,36
175,201,22,83,132,116,126,48,143,130,36
176,201,21,84,132,116,126,48,143,130,36
177,201,21,84,132,116,126,48,143,130,36
178,201,22,82,132,116,126,48,143,130,36
179,201,22,83,132,116,126,48,142,130,36
180,201,22,81,132,116,126,48,143,130,36
