Zeit,Motortemperatur,Motorlast,Drehzahl,LL-Stab. Arbeitsber.,LL-Stab. Nullpunkt,LL-Stab. Lastanpassung,LL-Stab. Kennl.-Strg.,Lambdaregelung aktiv,Lambdareg. Anpassung,Zündwinkel
1,189,26,86,138,117,128,48,129,130,36
2,189,26,86,138,117,128,48,130,130,36
3,189,26,83,137,117,128,48,130,130,36
4,189,27,80,137,117,128,48,130,130,36
5,189,27,83,137,117,128,48,131,130,36
6,189,26,84,137,117,128,48,131,130,36
7,189,25,86,137,117,128,48,131,130,36
8,189,26,83,137,117,128,48,132,130,36
9,189,26,81,137,117,128,48,132,130,36
10,189,26,84,137,117,128,48,132,130,36
11,189,25,84,137,117,128,48,132,130,36
12,189,26,81,137,117,128,48,133,130,36
13,189,26,80,137,117,128,48,133,130,36
14,189,26,81,137,117,128,48,133,130,36
15,189,27,80,137,117,128,48,132,130,36
16,189,27,81,137,117,128,48,133,130,36
17,189,26,87,137,117,128,48,133,130,36
18,189,26,84,136,117,128,48,133,130,36
19,189,26,89,136,117,128,48,133,130,36
20,189,25,89,135,117,128,48,134,130,36
21,189,24,91,135,117,128,48,134,130,36
22,189,24,90,134,117,128,48,135,130,36
23,189,24,88,134,117,128,48,135,130,36
24,189,25,83,134,117,128,48,134,130,36
25,189,26,79,134,117,128,48,134,130,36
26,189,26,80,134,117,128,48,135,130,36
27,189,25,84,134,117,128,48,135,130,36
28,189,25,83,134,117,128,48,135,130,36
29,189,26,80,134,117,128,48,135,130,36
30,189,25,83,134,117,128,48,136,130,36
31,189,26,84,134,117,128,48,135,130,36
32,189,25,88,133,117,128,48,135,130,36
33,189,24,88,133,117,128,48,136,130,36
34,189,25,82,133,117,128,48,136,130,36
35,189,25,81,133,117,128,48,136,130,36
36,189,25,83,133,117,128,48,136,130,36
37,189,25,84,133,117,128,48,136,130,36
38,189,25,86,132,117,128,48,136,130,36
39,189,24,86,132,117,128,48,136,130,36
40,189,24,86,132,117,128,48,137,130,36
41,189,51,86,128,117,128,48,137,130,33
42,189,72,97,128,117,128,48,140,130,34
43,189,20,159,128,117,128,48,135,130,33
44,189,14,148,128,117,128,48,142,130,33
45,189,14,137,128,117,128,48,143,130,34
46,189,16,123,128,117,128,48,143,130,39
47,189,17,107,128,117,128,48,143,130,38
48,189,20,96,128,117,128,48,143,130,37
49,189,21,87,128,117,128,48,144,130,36
50,189,23,81,128,117,128,48,143,130,36
51,189,25,80,129,117,128,48,143,130,36
52,189,24,83,129,117,128,48,143,130,36
53,189,24,86,129,117,128,48,142,130,36
54,189,23,86,128,117,128,48,141,130,36
55,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0
57,189,22,83,127,117,127,48,142,130,36
58,189,22,81,127,117,127,48,142,130,36
59,189,22,80,127,117,127,48,142,130,36
60,189,22,80,127,117,127,48,142,130,36
61,189,22,79,127,117,127,48,141,130,36
62,190,22,80,127,117,127,48,141,130,36
63,189,23,81,127,117,127,48,141,130,36
64,189,22,83,127,117,127,48,141,130,36
65,189,21,83,127,117,127,48,140,130,36
