Zeit,Motortemperatur,Motorlast,Drehzahl,LL-Stab. Arbeitsber.,LL-Stab. Nullpunkt,LL-Stab. Lastanpassung,LL-Stab. Kennl.-Strg.,Lambdaregelung aktiv,Lambdareg. Anpassung,Zündwinkel
1,179,29,83,145,106,127,48,128,130,36
2,177,29,79,145,106,127,48,128,130,36
3,179,31,79,145,107,127,48,128,130,36
4,177,31,81,145,107,127,48,128,130,36
5,177,30,86,145,107,127,48,128,130,36
6,177,29,86,144,107,127,48,128,130,36
7,177,29,86,144,107,127,48,128,130,36
8,177,29,82,144,107,127,48,128,130,36
9,177,30,79,144,107,127,48,128,130,36
10,177,31,81,144,107,127,48,128,130,36
11,177,30,84,144,107,127,48,128,130,36
12,177,29,86,144,107,127,48,128,130,36
13,177,29,83,144,107,127,48,128,130,36
14,177,29,85,144,107,127,48,128,130,36
15,177,29,84,144,107,127,48,128,130,36
16,177,29,80,143,107,127,48,128,130,36
17,177,32,75,144,107,127,48,128,130,36
18,177,31,84,144,108,127,48,128,130,36
19,177,28,88,143,108,127,48,128,130,36
20,176,27,86,143,108,127,48,128,130,36
21,176,29,78,143,108,127,48,128,130,36
22,176,30,82,143,108,127,48,128,130,36
23,176,29,82,143,108,127,48,128,130,36
24,176,29,83,142,108,128,48,128,130,36
25,176,30,81,142,108,128,48,128,130,36
26,176,29,86,142,108,128,48,128,130,36
27,176,29,83,142,108,128,48,128,130,36
28,176,30,79,142,108,128,48,128,130,36
29,176,30,84,142,108,128,48,128,130,36
30,177,29,83,142,108,128,48,128,130,36
31,176,29,83,142,108,128,48,128,130,36
32,176,29,83,142,108,128,48,128,130,36
33,177,28,85,141,108,128,48,128,130,36
34,177,29,81,141,108,128,48,128,130,36
35,177,30,83,141,108,128,48,128,130,36
36,176,29,83,141,108,128,48,128,130,36
37,176,30,83,141,108,128,48,128,130,36
38,177,29,84,141,108,128,48,128,130,36
39,177,27,87,141,108,128,48,128,130,36
40,177,27,86,140,108,128,48,128,130,36
41,177,28,76,140,108,128,48,128,130,36
42,177,30,79,140,109,128,48,128,130,36
43,177,29,82,140,109,128,48,128,130,36
44,177,28,81,140,109,128,48,128,130,36
45,177,29,82,140,109,128,48,128,130,36
46,177,28,86,140,109,128,48,128,130,36
47,177,29,83,140,109,128,48,128,130,36
48,177,28,81,140,109,128,48,128,130,36
49,177,29,77,140,109,128,48,128,130,36
50,177,29,82,140,109,128,48,128,130,36
51,177,28,81,140,109,128,48,128,130,36
52,177,30,79,140,109,128,48,128,130,36
53,177,28,81,140,109,128,48,128,130,36
54,177,28,83,140,109,128,48,128,130,36
55,177,29,81,140,109,128,48,128,130,36
56,177,29,83,140,109,128,48,128,130,36
57,177,28,85,140,109,128,48,128,130,36
58,177,28,83,139,109,128,48,128,130,36
59,177,29,80,139,109,128,48,128,130,36
60,177,28,82,139,109,128,48,128,130,36
61,177,28,83,139,109,128,48,128,130,36
62,177,28,81,139,109,128,48,128,130,36
63,177,28,81,139,109,128,48,128,130,36
64,177,28,82,139,109,128,48,128,130,36
65,177,28,80,139,110,128,48,128,130,36
66,177,29,78,139,110,128,48,128,130,36
67,177,30,80,139,110,128,48,128,130,36
68,177,28,83,139,110,128,48,128,130,36
69,177,30,79,139,110,128,48,128,130,36
70,177,29,83,139,110,128,48,128,130,36
71,177,28,86,139,110,128,48,128,130,36
72,177,27,88,139,110,128,48,128,130,36
73,177,27,83,139,110,128,48,128,130,36
74,179,28,80,139,110,128,48,128,130,36
75,179,28,78,139,110,128,48,128,130,36
76,179,29,80,139,111,128,48,128,130,36
77,177,28,83,139,111,128,48,128,130,36
78,179,28,80,139,111,128,48,128,130,36
79,177,29,80,139,111,128,48,128,130,36
80,179,29,80,139,111,128,48,128,130,36
81,179,28,81,139,111,128,48,128,130,36
82,179,28,83,139,111,128,48,128,130,36
83,179,29,78,139,111,128,48,128,130,36
84,179,29,79,139,111,128,48,128,130,36
85,179,29,81,139,111,128,48,128,130,36
86,179,28,84,138,111,128,48,128,130,36
87,179,28,81,138,112,128,48,128,130,36
88,179,28,80,138,112,128,48,128,130,36
89,179,28,80,138,112,128,48,128,130,36
90,179,29,81,138,112,128,48,128,130,36
91,179,29,78,138,112,128,48,128,130,36
92,179,29,81,138,112,128,48,128,130,36
93,179,28,83,138,112,128,48,128,130,36
94,179,29,80,138,112,128,48,128,130,36
95,179,28,84,138,112,128,48,128,130,36
96,179,28,86,138,112,128,48,128,130,36
97,179,27,86,138,112,128,48,128,130,36
98,179,27,83,137,112,128,48,128,130,36
99,179,28,83,137,112,128,48,128,130,36
100,179,27,80,137,112,128,48,128,130,36
101,179,29,79,137,112,128,48,128,130,36
102,179,28,79,137,112,128,48,128,130,36
103,179,29,79,137,112,128,48,128,130,36
104,179,29,83,137,112,128,48,128,130,36
105,179,28,83,137,112,128,48,128,130,36
