Zeit,Motortemperatur,Motorlast,Drehzahl,LL-Stab. Arbeitsber.,LL-Stab. Nullpunkt,LL-Stab. Lastanpassung,LL-Stab. Kennl.-Strg.,Lambdaregelung aktiv,Lambdareg. Anpassung,Zündwinkel
1,162,32,83,144,103,126,48,128,130,38
2,162,31,85,144,103,126,48,128,130,38
3,162,32,81,144,103,126,48,128,130,38
4,162,33,81,144,104,126,48,128,130,38
5,162,32,87,143,104,126,48,128,130,38
6,162,30,85,143,104,126,48,128,130,38
7,162,32,79,143,104,126,48,128,130,38
8,162,32,81,143,104,126,48,128,130,38
9,162,31,83,143,104,126,48,128,130,38
10,162,32,80,143,104,126,48,128,130,38
11,162,32,83,143,104,126,48,128,130,38
12,162,31,87,143,104,126,48,128,130,38
13,162,31,84,143,104,126,48,128,130,38
14,162,31,80,143,104,126,48,128,130,38
15,162,32,80,143,104,126,48,128,130,38
16,162,31,83,143,104,126,48,128,130,38
17,162,30,83,142,104,126,48,128,130,38
18,162,31,80,142,104,126,48,128,130,38
19,162,30,82,142,104,126,48,128,130,38
20,162,31,81,142,104,126,48,128,130,38
21,162,32,79,142,104,126,48,128,130,38
22,162,31,84,142,104,126,48,128,130,38
23,162,30,83,142,104,126,48,128,130,38
24,162,31,79,142,104,126,48,128,130,38
25,162,31,81,142,105,126,48,128,130,38
26,162,33,78,142,105,126,48,128,130,38
27,162,33,79,142,105,126,48,128,130,38
28,162,32,84,142,105,126,48,128,130,38
29,162,31,86,142,105,126,48,128,130,38
30,162,30,85,141,105,126,48,128,130,38
31,162,29,85,141,105,126,48,128,130,38
32,162,30,81,141,105,126,48,128,130,38
33,162,31,80,141,105,126,48,128,130,38
34,162,32,81,141,105,126,48,128,130,38
35,163,31,84,141,105,126,48,128,130,38
36,162,30,81,141,105,126,48,128,130,38
37,162,31,79,141,105,126,48,128,130,38
38,163,32,79,141,106,126,48,128,130,38
39,163,32,82,141,106,126,48,128,130,38
40,163,31,83,141,106,126,48,128,130,38
41,163,31,83,141,106,126,48,128,130,38
42,163,30,82,141,106,126,48,128,130,38
43,163,32,79,141,106,126,48,128,130,38
44,163,31,80,141,106,126,48,128,130,38
45,163,31,80,141,106,126,48,128,130,38
46,163,32,80,141,106,126,48,128,130,38
47,163,31,87,141,106,126,48,128,130,38
48,163,30,85,140,106,126,48,128,130,38
49,163,31,81,140,106,126,48,128,130,38
50,163,31,81,140,106,126,48,128,130,38
51,163,31,75,140,106,126,48,128,130,38
52,163,33,78,141,107,126,48,128,130,38
53,163,32,81,141,107,126,48,128,130,38
54,163,30,86,141,107,126,48,128,130,38
55,163,30,83,140,107,126,48,128,130,38
56,163,30,82,140,107,126,48,128,130,38
57,163,31,80,140,107,126,48,128,130,38
58,163,31,80,140,107,126,48,128,130,38
59,163,32,79,140,107,126,48,128,130,38
60,163,31,84,140,107,126,48,128,130,38
61,163,30,84,140,107,126,48,128,130,38
62,164,31,81,140,107,126,48,128,130,38
63,163,31,80,140,107,126,48,128,130,38
64,164,30,84,140,107,126,48,128,130,38
65,164,29,84,140,107,126,48,128,130,37
66,164,28,88,139,107,126,48,128,130,37
67,164,28,85,139,107,126,48,128,130,37
68,164,30,81,139,107,126,48,128,130,37
69,164,30,84,139,107,126,48,128,130,37
70,164,29,84,139,107,126,48,128,130,37
71,164,30,80,139,107,126,48,128,130,37
72,164,31,78,139,107,126,48,128,130,37
73,164,31,81,139,107,126,48,128,130,37
74,164,31,80,139,107,126,48,128,130,37
75,164,30,81,139,107,126,48,128,130,37
76,164,30,83,139,107,126,48,128,130,37
77,164,29,83,139,107,126,48,128,130,37
78,164,30,81,139,107,126,48,128,130,37
79,164,30,80,139,107,126,48,128,130,37
80,164,30,81,139,107,126,48,128,130,37
81,164,30,83,139,107,126,48,128,130,37
82,164,30,83,139,107,126,48,128,130,37
83,164,29,83,138,107,126,48,128,130,37
84,164,30,79,138,107,126,48,128,130,37
85,164,30,81,138,107,126,48,128,130,37
86,164,30,85,138,108,126,48,128,130,37
87,164,29,83,138,108,126,48,128,130,37
