Zeit,Motortemperatur,Motorlast,Drehzahl,LL-Stab. Arbeitsber.,LL-Stab. Nullpunkt,LL-Stab. Lastanpassung,LL-Stab. Kennl.-Strg.,Lambdaregelung aktiv,Lambdareg. Anpassung,Zündwinkel
1,195,22,79,128,116,127,52,133,130,36
2,195,21,81,128,116,127,52,133,130,36
3,195,21,80,128,116,127,52,133,130,36
4,195,21,79,128,116,127,52,133,130,36
5,195,22,79,128,116,127,52,132,130,36
6,195,21,80,128,116,127,52,135,130,36
7,195,21,81,128,116,127,52,134,130,36
8,195,21,80,128,116,127,52,134,130,36
9,195,22,78,128,116,127,52,134,130,36
10,195,22,79,128,116,127,52,134,130,36
11,195,22,79,128,116,127,52,133,130,36
12,195,21,80,128,116,127,52,133,130,36
13,195,21,80,128,116,127,52,133,130,36
14,195,22,79,128,116,127,52,133,130,36
15,195,21,81,128,116,127,52,132,130,36
16,195,21,80,128,116,127,52,132,130,36
17,195,22,76,128,116,127,52,134,130,36
18,195,22,77,128,116,127,52,135,130,36
19,195,23,77,128,116,127,52,135,130,36
20,195,22,80,128,116,127,52,135,130,36
21,195,21,83,128,116,127,52,135,130,36
22,195,21,84,128,116,127,52,135,130,36
23,195,20,86,128,116,127,52,135,130,36
24,195,20,85,127,116,127,52,134,130,36
25,195,20,84,127,116,127,52,134,130,36
26,195,21,82,127,116,127,52,134,130,36
27,195,21,80,127,116,127,52,134,130,36
28,195,22,78,127,116,127,52,133,130,36
29,195,22,78,127,116,127,52,133,130,36
30,195,22,79,127,116,127,52,133,130,36
31,195,22,78,127,116,127,52,133,130,36
32,195,21,80,127,116,127,52,132,130,36
33,195,21,80,127,116,127,52,132,130,36
34,195,22,76,127,116,127,52,134,130,36
35,195,22,77,127,116,127,52,136,130,36
36,195,22,78,127,116,127,52,136,130,36
37,195,22,78,127,116,127,52,136,130,36
38,195,21,80,127,116,127,52,136,130,36
39,195,21,81,127,116,127,52,135,130,36
40,195,21,80,127,116,127,52,136,130,36
41,195,21,80,127,116,127,52,139,130,36
42,195,21,83,127,116,127,52,139,130,36
43,195,21,83,127,116,127,52,138,130,36
44,195,20,83,127,116,127,52,138,130,36
45,195,20,80,127,116,127,52,138,130,36
46,195,21,79,127,116,127,52,138,130,36
47,195,21,79,127,116,127,52,137,130,36
48,195,21,80,127,116,127,52,137,130,36
49,195,21,83,127,116,127,52,137,130,36
50,195,21,81,127,116,127,52,137,130,36
51,195,21,81,127,116,127,52,136,130,36
52,195,21,79,127,116,127,52,136,130,36
53,195,22,77,127,116,127,52,136,130,36
54,196,22,77,127,116,127,52,138,130,36
55,196,22,80,127,116,127,52,137,130,36
56,196,21,83,127,116,127,52,137,130,36
57,196,20,82,127,116,127,52,137,130,36
58,196,21,79,127,116,127,52,137,130,36
59,196,21,81,127,116,127,52,136,130,36
60,196,21,81,127,116,127,52,136,130,36
61,196,21,80,127,116,127,52,136,130,36
62,196,21,78,127,116,127,52,136,130,36
63,196,21,78,127,116,127,52,136,130,36
64,196,21,77,127,116,127,52,135,130,36
65,196,22,76,127,116,127,52,137,130,36
66,196,22,77,128,116,127,52,139,130,36
