Zeit,Motortemperatur,Motorlast,Drehzahl,LL-Stab. Arbeitsber.,LL-Stab. Nullpunkt,LL-Stab. Lastanpassung,LL-Stab. Kennl.-Strg.,Lambdaregelung aktiv,Lambdareg. Anpassung,Zündwinkel
1,198,24,88,137,117,129,48,132,130,36
2,198,24,87,137,117,129,48,132,130,36
3,198,24,86,137,117,129,48,132,130,36
4,198,24,83,137,117,129,48,133,130,36
5,198,25,79,137,117,129,48,133,130,36
6,196,26,80,137,117,129,48,133,130,36
7,198,25,80,137,117,129,48,132,130,36
8,196,25,81,137,117,129,48,133,130,36
9,196,25,83,137,117,129,48,133,130,36
10,196,25,83,137,117,129,48,133,130,36
11,196,24,86,136,117,129,48,133,130,36
12,196,24,86,136,117,129,48,134,130,36
13,196,24,86,136,117,129,48,134,130,36
14,196,24,83,135,117,129,48,134,130,36
15,196,26,81,135,117,129,48,135,130,36
16,196,26,82,135,117,129,48,134,130,36
17,196,25,84,135,117,129,48,134,130,36
18,196,25,86,135,117,129,48,134,130,36
19,196,24,88,135,117,129,48,135,130,36
20,196,24,87,134,117,129,48,135,130,36
21,196,23,90,134,117,129,48,135,130,36
22,196,23,89,133,117,129,48,136,130,36
23,196,23,87,133,117,129,48,135,130,36
24,196,24,81,133,117,129,48,135,130,36
25,196,24,82,133,117,129,48,136,130,36
26,196,25,83,133,117,129,48,136,130,36
27,196,24,82,133,117,129,48,136,130,36
28,196,25,83,133,117,129,48,136,130,36
29,196,25,84,133,117,129,48,136,130,36
30,195,24,86,132,117,129,48,136,130,36
31,195,24,86,132,117,129,48,136,130,36
32,195,24,85,132,117,129,48,137,130,36
33,195,23,84,131,117,129,48,137,130,36
34,195,24,81,131,117,129,48,137,130,36
35,195,24,83,131,117,129,48,136,130,36
36,195,24,83,131,117,129,48,137,130,36
37,195,23,84,131,117,129,48,137,130,36
38,195,23,84,131,117,129,48,137,130,36
39,195,24,82,131,117,129,48,138,130,36
40,195,23,83,131,117,129,48,137,130,36
41,195,24,80,131,117,129,48,137,130,36
42,195,24,84,131,117,129,48,137,130,36
43,195,24,86,131,117,129,48,138,130,36
44,195,23,86,130,117,129,48,138,130,36
45,195,22,88,130,117,129,48,137,130,36
46,195,22,86,129,117,129,48,138,130,36
47,195,23,84,129,117,129,48,138,130,36
48,195,22,83,129,117,129,48,138,130,36
49,195,23,81,129,117,129,48,139,130,36
50,195,23,80,129,117,129,48,138,130,36
51,195,23,81,129,117,129,48,138,130,36
52,195,23,84,129,117,129,48,138,130,36
53,195,22,81,129,117,129,48,139,130,36
54,195,23,81,129,117,129,48,139,130,36
55,195,23,80,129,117,129,48,138,130,36
56,195,23,81,129,117,129,48,138,130,36
57,195,23,83,129,117,129,48,139,130,36
58,195,22,83,129,117,129,48,139,130,36
59,195,23,83,129,117,129,48,139,130,36
60,195,22,84,129,117,129,48,138,130,36
61,195,22,83,129,117,129,48,139,130,36
62,195,23,83,129,117,129,48,139,130,36
63,195,22,86,129,117,129,48,139,130,36
64,195,22,86,128,117,129,48,139,130,36
65,195,22,84,128,117,129,48,138,130,36
66,195,22,84,128,117,129,48,138,130,36
67,195,22,82,128,117,129,48,138,130,36
68,195,22,81,128,117,129,48,137,130,36
69,195,23,79,128,117,129,48,136,130,36
70,195,23,76,128,117,129,48,136,130,36
71,195,23,79,128,117,129,48,136,130,36
72,195,23,81,128,117,129,48,135,130,36
73,195,22,83,128,117,129,48,135,130,36
74,195,22,81,128,117,129,48,135,130,36
75,195,22,80,128,117,129,48,138,130,36
76,195,22,82,128,117,129,48,137,130,36
77,195,22,81,128,117,129,48,138,130,36
78,195,22,81,128,117,129,48,138,130,36
79,195,22,80,128,117,129,48,138,130,36
80,195,22,81,128,117,129,48,138,130,36
81,195,22,83,128,117,129,48,138,130,36
82,195,22,83,128,117,129,48,138,130,36
83,195,21,83,128,117,129,48,138,130,36
84,195,21,82,128,117,129,48,137,130,36
85,195,21,83,128,117,129,48,137,130,36
86,195,22,81,128,117,129,48,136,130,36
87,195,23,79,128,117,129,48,136,130,36
88,195,22,80,128,117,129,48,135,130,36
89,195,22,82,128,117,129,48,135,130,36
90,195,22,83,128,117,129,48,135,130,36
91,195,21,83,128,117,129,48,135,130,36
92,195,22,80,128,117,129,48,134,130,36
93,195,23,80,128,117,129,48,140,130,36
94,195,22,83,128,117,129,48,145,130,36
95,195,21,88,127,117,129,48,144,130,36
96,195,20,90,127,117,129,48,144,130,36
97,195,19,90,126,117,129,48,144,130,36
98,195,19,90,126,117,129,48,143,130,36
99,195,19,86,125,117,129,48,143,130,36
100,195,19,85,125,117,129,48,143,130,36
