Zeit,Motortemperatur,Motorlast,Drehzahl,LL-Stab. Arbeitsber.,LL-Stab. Nullpunkt,LL-Stab. Lastanpassung,LL-Stab. Kennl.-Strg.,Lambdaregelung aktiv,Lambdareg. Anpassung,Zündwinkel
1,193,20,84,125,117,127,50,154,130,36
2,191,19,86,125,117,127,50,154,130,36
3,193,20,84,126,117,126,50,154,130,36
4,193,20,84,125,117,126,50,154,130,36
5,191,20,84,125,117,126,50,154,130,36
6,193,20,83,125,117,126,50,154,130,36
7,193,20,83,125,117,126,50,155,130,36
8,193,20,83,125,117,126,50,158,130,36
9,193,20,81,125,117,126,50,158,130,36
10,193,20,80,125,117,126,50,158,130,36
11,193,20,80,125,117,126,50,158,130,36
12,193,20,80,125,117,126,50,159,130,36
13,193,20,82,125,117,126,50,160,130,36
14,193,20,83,125,117,126,50,160,130,36
15,193,20,83,125,117,126,50,160,130,36
16,193,19,84,125,117,126,50,160,130,36
17,193,19,84,125,117,126,50,160,130,36
18,193,19,83,125,117,126,50,160,130,36
19,193,19,83,125,117,126,50,160,130,36
20,193,19,83,125,117,126,50,160,130,36
21,193,19,81,125,117,126,50,160,130,36
22,193,19,83,125,117,126,50,160,130,36
23,193,20,80,125,117,126,50,160,130,36
24,193,20,79,125,117,126,50,160,130,36
25,193,20,79,125,117,126,50,160,130,36
26,193,20,80,125,117,126,50,160,130,36
27,193,20,80,125,117,126,50,160,130,36
28,193,20,80,125,117,126,50,160,130,36
29,193,20,81,125,117,126,50,160,130,36
30,193,20,81,125,117,126,50,160,130,36
31,193,20,81,125,117,126,50,160,130,36
32,193,20,81,125,117,126,50,160,130,36
33,193,20,80,125,117,126,50,160,130,36
34,193,20,80,125,117,126,50,160,130,36
35,193,20,79,125,117,126,50,160,130,36
36,193,20,79,125,117,126,50,160,130,36
37,193,20,80,125,117,126,50,160,130,36
38,193,20,81,125,117,126,50,160,130,36
39,193,20,83,125,117,126,50,160,130,36
40,193,20,81,125,117,126,50,160,130,36
41,193,20,81,125,117,126,50,160,130,36
42,193,20,80,125,117,126,50,160,130,36
43,193,20,80,125,117,126,50,160,130,36
44,193,20,79,125,117,126,50,160,130,36
45,193,21,75,125,117,126,50,160,130,36
46,193,21,76,125,117,126,50,160,130,36
47,193,21,78,125,117,126,50,160,130,36
