Zeit,Motortemperatur,Motorlast,Drehzahl,LL-Stab. Arbeitsber.,LL-Stab. Nullpunkt,LL-Stab. Lastanpassung,LL-Stab. Kennl.-Strg.,Lambdaregelung aktiv,Lambdareg. Anpassung,Zündwinkel
1,189,30,80,146,111,126,48,128,130,36
2,189,30,80,146,111,126,48,128,130,36
3,189,30,83,146,111,126,48,128,130,36
4,187,30,80,146,111,126,48,128,130,36
5,187,30,81,146,112,126,48,128,130,36
6,187,29,83,146,112,126,48,128,130,36
7,187,29,80,146,112,126,48,128,130,36
8,187,30,80,146,112,126,48,128,130,36
9,187,30,81,146,112,126,48,128,130,36
10,187,30,81,146,112,126,48,128,130,36
11,187,31,81,146,112,126,48,128,130,36
12,187,30,86,145,112,126,48,128,130,36
13,186,28,86,145,112,126,48,128,130,36
14,186,29,86,145,112,126,48,128,130,36
15,186,28,86,144,112,126,48,128,130,36
16,186,28,85,144,112,126,48,128,130,36
17,186,28,85,143,112,127,48,128,130,36
18,186,28,84,143,112,127,48,128,130,36
19,186,29,81,143,112,127,48,128,130,36
20,186,29,78,143,112,127,48,128,130,36
21,186,30,81,143,112,127,48,128,130,36
22,186,28,83,142,112,127,48,128,130,36
23,186,29,83,142,112,127,48,128,130,36
24,186,29,83,142,112,127,48,128,130,36
25,186,28,85,142,112,127,48,128,130,36
26,186,28,84,142,112,127,48,128,130,36
27,186,28,83,142,112,127,48,128,130,36
28,186,28,86,142,113,127,48,128,130,36
29,186,29,79,142,112,127,48,128,130,36
30,186,30,80,142,113,127,48,128,130,36
31,186,29,79,142,113,127,48,128,130,36
32,186,30,82,142,113,127,48,128,130,36
33,186,28,86,142,113,127,48,128,130,36
34,186,28,86,142,113,127,48,128,130,36
35,186,28,81,141,113,127,48,128,130,36
36,186,29,80,141,113,127,48,128,130,36
37,186,28,84,141,113,127,48,128,130,36
38,186,28,80,141,113,127,48,128,130,36
39,186,29,78,141,113,127,48,128,130,36
40,186,29,80,141,113,127,48,128,130,36
41,186,29,80,141,113,127,48,128,130,36
42,186,28,81,141,113,127,48,128,130,36
43,186,29,79,141,113,127,48,128,130,36
44,186,29,84,141,113,127,48,128,130,36
45,186,27,86,141,113,127,48,128,130,36
46,186,27,82,141,113,127,48,128,130,36
47,186,27,81,141,113,127,48,128,130,36
48,186,28,80,141,113,127,48,128,130,36
49,186,29,77,141,114,127,48,128,130,36
50,186,29,81,141,114,127,48,128,130,36
51,186,28,80,141,114,127,48,128,130,36
52,186,29,79,141,114,127,48,128,130,36
53,186,29,81,141,114,127,48,128,130,36
54,186,29,80,141,114,127,48,128,130,36
55,186,29,81,141,114,127,48,128,130,36
56,186,28,83,141,114,127,48,128,130,36
57,186,28,83,141,114,127,48,128,130,36
58,186,27,83,141,114,127,48,128,130,36
59,186,27,84,141,114,127,48,128,130,36
60,186,28,83,141,114,127,48,128,130,36
61,186,27,83,140,114,127,48,128,130,36
62,186,28,79,140,114,127,48,128,130,36
63,186,28,80,140,114,127,48,128,130,36
64,186,29,76,141,114,127,48,128,130,36
65,186,29,82,141,114,127,48,128,130,36
66,186,28,83,141,114,127,48,128,130,36
67,186,29,80,141,114,127,48,128,130,36
68,186,29,80,141,114,127,48,128,130,36
69,186,29,80,141,115,127,48,128,130,36
70,186,28,81,141,115,127,48,128,130,36
71,186,28,83,141,115,127,48,128,130,36
72,186,28,83,141,115,127,48,128,130,36
73,186,28,83,141,115,127,48,128,130,36
74,186,27,80,141,115,127,48,128,130,36
75,186,27,84,141,115,127,48,128,130,36
76,186,27,83,141,115,127,48,128,130,36
77,186,28,80,141,115,127,48,128,130,36
78,186,29,80,141,115,127,48,128,130,36
79,186,29,83,141,115,127,48,128,130,36
80,186,28,81,141,115,127,48,128,130,36
81,186,27,81,141,115,127,48,128,130,36
82,186,28,84,140,115,127,48,128,130,36
83,186,28,83,140,115,127,48,128,130,36
84,186,28,83,140,115,127,48,128,130,36
85,186,28,82,140,115,127,48,128,130,36
86,186,28,79,140,115,127,48,128,130,36
87,186,27,83,140,115,127,48,128,130,36
88,186,28,80,140,115,127,48,128,130,36
89,186,28,80,140,115,127,48,128,130,36
90,186,28,80,140,115,127,48,128,130,36
91,186,27,83,140,115,127,48,128,130,36
92,186,27,84,140,115,127,48,128,130,36
93,186,28,82,140,115,127,48,128,130,36
94,186,28,80,140,115,127,48,128,130,36
95,186,28,81,140,116,127,48,128,130,36
96,186,28,81,140,116,127,48,128,130,36
97,186,28,80,140,116,127,48,128,130,36
98,186,28,83,140,116,127,48,128,130,36
99,186,27,83,140,116,127,48,128,130,36
100,186,28,83,140,116,127,48,128,130,36
101,186,28,84,140,116,127,48,128,130,36
102,186,28,86,140,116,127,48,128,130,36
103,186,26,86,139,116,127,48,128,130,36
104,186,27,84,139,116,127,48,128,130,36
105,186,27,83,139,116,127,48,128,130,36
106,186,28,80,139,116,127,48,128,130,36
107,186,29,76,140,116,127,48,128,130,36
108,186,29,80,140,116,127,48,128,130,36
109,186,28,81,140,116,127,48,128,130,36
110,186,28,81,140,116,127,48,128,130,36
111,186,27,82,140,116,127,48,128,130,36
112,186,28,81,140,116,127,48,128,130,36
113,186,28,82,140,116,127,48,128,130,36
114,186,27,84,139,116,127,48,128,130,36
115,186,27,80,139,116,127,48,128,130,36
116,186,27,80,139,116,127,48,128,130,36
117,186,28,79,139,116,127,48,128,130,36
118,186,28,80,139,116,127,48,128,130,36
119,186,28,80,139,116,127,48,128,130,36
120,186,28,82,139,116,127,48,128,130,36
121,186,28,81,139,116,127,48,128,130,36
122,186,28,83,139,116,127,48,128,130,36
123,186,27,86,139,116,127,48,128,130,36
124,186,27,83,139,116,127,48,128,130,36
125,186,26,83,139,116,127,48,128,130,36
126,186,27,80,139,116,127,48,128,130,36
127,186,28,81,139,116,127,48,128,130,36
128,186,27,81,139,116,127,48,128,130,36
